,x,y
532,42,2
533,39,1
534,43,6
535,42,6
536,43,4
537,134,24
538,27,24
539,44,6
540,33,7
541,34,8
542,25,2
543,30,4
544,66,4
545,56,4
546,36,4
547,37,4
548,37,0
549,37,0
550,102,0
551,60,4
552,62,2
553,76,1
554,65,6
555,64,6
556,65,4
557,40,24
558,78,24
559,72,6
560,71,7
561,70,8
562,77,2
563,78,4
564,38,4
565,52,4
566,70,4
567,71,4
568,67,0
569,67,0
570,17,4
571,13,2
572,20,1
573,8,6
574,7,6
575,8,4
576,103,24
577,14,24
578,31,6
579,20,7
580,17,8
581,12,2
582,11,4
583,35,4
584,25,4
585,5,4
586,6,4
587,0,0
588,17,4
589,13,2
590,20,1
591,8,6
592,7,6
593,8,4
594,103,24
595,14,24
596,31,6
597,20,7
598,17,8
599,12,2
600,11,4
601,35,4
602,25,4
603,5,4
604,6,4
605,17,0
606,13,6
607,24,5
608,12,2
609,11,2
610,12,0
611,103,28
612,14,28
613,31,10
614,20,11
615,21,12
616,12,6
617,17,8
618,35,0
619,25,0
620,5,0
621,16,0
622,12,6
623,23,5
624,11,2
625,10,2
626,11,0
627,102,28
628,13,28
629,30,10
630,19,11
631,20,12
632,11,6
633,16,8
634,34,0
635,24,0
636,8,0
637,16,6
638,41,5
639,27,2
640,26,2
641,27,0
642,84,28
643,33,28
644,46,10
645,35,11
646,36,12
647,31,6
648,36,8
649,16,0
650,24,0
651,26,6
652,49,5
653,33,2
654,32,2
655,33,0
656,70,28
657,43,28
658,38,10
659,35,11
660,38,12
661,41,6
662,46,8
663,28,8
664,24,2
665,13,3
666,19,10
667,18,10
668,19,8
669,114,20
670,7,20
671,24,2
672,13,3
673,10,4
674,5,2
675,23,6
676,19,0
677,12,1
678,18,8
679,17,8
680,18,6
681,109,22
682,2,22
683,19,4
684,8,5
685,9,6
686,30,12
687,28,6
688,17,7
689,17,14
690,16,14
691,17,12
692,106,16
693,11,16
694,14,2
695,3,1
696,29,11
697,27,5
698,20,6
699,20,13
700,19,13
701,20,11
702,103,17
703,10,17
704,11,1
705,40,10
706,38,4
707,31,5
708,31,12
709,30,12
710,31,10
711,104,18
712,21,18
713,25,28
714,21,22
715,14,23
716,20,30
717,19,30
718,20,28
719,109,0
720,92,28
721,94,22
722,112,23
723,101,30
724,100,30
725,101,28
726,21,0
727,17,6
728,26,5
729,2,2
730,1,2
731,20,2
732,16,8
733,25,7
734,1,0
735,21,2
736,17,8
737,26,7
738,35,5
739,31,1
740,8,6
741,2,2
742,8,19
743,9,18
744,0,24
745,5,22
746,11,30
747,10,3
748,10,3
749,10,23
750,5,12
751,17,22
752,9,0
753,9,2
754,12,1
755,2,0
756,7,2
757,9,0
758,7,22
759,6,2
760,9,1
761,9,2
762,4,2
763,10,19
764,2,24
765,7,22
766,12,3
767,12,3
768,7,12
769,19,22
770,11,0
771,11,2
772,11,0
773,9,22
774,4,28
775,5,28
776,5,24
777,5,24
778,3,1
779,3,1
780,6,21
781,3,21
782,5,18
783,10,20
784,11,2
785,9,24
786,12,23
787,5,1
788,10,30
789,9,24
790,5,14
791,12,9
792,5,0
793,4,21
794,7,15
795,11,8
796,11,5
797,9,16
798,8,10
799,4,14
